2012-01-04,208321
2012-01-05,249773
2012-01-06,257842
2012-01-07,260694
2012-01-08,232416
2012-01-09,229389
2012-01-10,224239
2012-01-11,226942
2012-01-12,264129
2012-01-13,304170
2012-01-14,302356
2012-01-15,264363
2012-01-16,248465
2012-01-17,241900
2012-01-18,247257
2012-01-19,275906
2012-01-20,318977
2012-01-21,314626
2012-01-22,265223
2012-01-23,256022
2012-01-24,248123
2012-01-25,229586
2012-01-26,303806
2012-01-27,341393
2012-01-28,344144
2012-01-29,294853
2012-01-30,284794
2012-01-31,279800
2012-02-01,295260
2012-02-02,283274
2012-02-03,349077
2012-02-04,345103
2012-02-05,284581
2012-02-06,271393
2012-02-07,290968
2012-02-08,292049
2012-02-09,304833
2012-02-10,337805
2012-02-11,280544
2012-02-12,293476
2012-02-13,208172
2012-02-14,2858
2012-02-15,334436
2012-02-16,342632
2012-02-17,372780
2012-02-18,361632
2012-02-19,339768
2012-02-20,302404
2012-02-21,288538
2012-02-22,329580
2012-02-23,326619
2012-02-24,372145
2012-02-25,376014
2012-02-26,320768
2012-02-27,318416
2012-02-28,306505
2012-02-29,315137
2012-03-01,346274
2012-03-02,394169
2012-03-03,398651
2012-03-04,354202
2012-03-05,355031
2012-03-06,373325
2012-03-07,378798
2012-03-08,394637
2012-03-09,423532
2012-03-10,440383
2012-03-11,371933
2012-03-12,362532
2012-03-13,341665
2012-03-14,373325
2012-03-15,396192
2012-03-16,460335
2012-03-17,475071
2012-03-18,399738
2012-03-19,398689
2012-03-20,402166
2012-03-21,433046
2012-03-22,497474
2012-03-23,611875
2012-03-24,624817
2012-03-25,529440
2012-03-26,543832
2012-03-27,470913
2012-03-28,488238
2012-03-29,604557
2012-03-30,664691
2012-03-31,682302
2012-04-01,547151
2012-04-02,553214
2012-04-03,553615
2012-04-04,580211
2012-04-05,643464
2012-04-06,637351
2012-04-07,642985
2012-04-08,588723
2012-04-09,557339
2012-04-10,553084
2012-04-11,600332
2012-04-12,614735
2012-04-13,718501
2012-04-14,755249
2012-04-15,625607
2012-04-16,624239
2012-04-17,636973
2012-04-18,673696
2012-04-19,730894
2012-04-20,824131
2012-04-21,847879
2012-04-22,708274
2012-04-23,708583
2012-04-24,702044
2012-04-25,682786
2012-04-26,730340
2012-04-27,845004
2012-04-28,751525
2012-04-29,790450
2012-04-30,800582
2012-05-01,707782
2012-05-02,702608
2012-05-03,721879
2012-05-04,838297
2012-05-05,848539
2012-05-06,709793
2012-05-07,725369
2012-05-08,701251
2012-05-09,644041
2012-05-10,676250
2012-05-11,805813
2012-05-12,819996
2012-05-13,680475
2012-05-14,587692
2012-05-15,549238
2012-05-16,546164
2012-05-17,576299
2012-05-18,640216
2012-05-19,672720
2012-05-20,569074
2012-05-21,586270
2012-05-22,591766
2012-05-23,590568
2012-05-24,653398
2012-05-25,708405
2012-05-26,741787
2012-05-27,681721
2012-05-28,680875
2012-05-29,680393
2012-05-30,683832
2012-05-31,848259
2012-06-01,979824
2012-06-02,961814
2012-06-03,831226
2012-06-04,856327
2012-06-05,725594
2012-06-06,850589
2012-06-07,869837
2012-06-08,920557
2012-06-09,934022
2012-06-10,896635
2012-06-11,966754
2012-06-12,861968
2012-06-13,897626
2012-06-14,889383
2012-06-15,947649
2012-06-16,936421
2012-06-17,803405
2012-06-18,856972
2012-06-19,853887
2012-06-20,829345
2012-06-21,907001
2012-06-22,985172
2012-06-23,996411
2012-06-24,924348
2012-06-25,903213
2012-06-26,934277
2012-06-27,933344
2012-06-28,984041
2012-06-29,1037638
2012-06-30,1083565
2012-07-01,1015828
2012-07-02,972938
2012-07-03,980950
2012-07-04,955717
2012-07-05,986497
2012-07-06,1065971
2012-07-07,1051740
2012-07-08,1002462
2012-07-09,977443
2012-07-10,980009
2012-07-11,985396
2012-07-12,963059
2012-07-13,1094234
2012-07-14,1173864
2012-07-15,1067452
2012-07-16,1069353
2012-07-17,934300
2012-07-18,1080194
2012-07-19,868943
2012-07-20,1171354
2012-07-21,1200957
2012-07-22,1112702
2012-07-23,1084515
2012-07-24,1098144
2012-07-25,1116275
2012-07-26,1147675
2012-07-27,1248743
2012-07-28,1287797
2012-07-29,1195429
2012-07-30,1147163
2012-07-31,1151850
2012-08-01,1148598
2012-08-02,1075892
2012-08-03,1213077
2012-08-04,1266587
2012-08-05,1140227
2012-08-06,1165376
2012-08-07,1151422
2012-08-08,1149715
2012-08-09,1131982
2012-08-10,1261600
2012-08-11,1271498
2012-08-12,1175396
2012-08-13,1124972
2012-08-14,1151248
2012-08-15,864152
2012-08-16,1118974
2012-08-17,1194476
2012-08-18,1277182
2012-08-19,1201978
2012-08-20,1138811
2012-08-21,1129849
2012-08-22,1139464
2012-08-23,1158492
2012-08-24,1212963
2012-08-25,1107773
2012-08-26,1037158
2012-08-27,1132609
2012-08-28,1193573
2012-08-29,1204433
2012-08-30,1095438
2012-08-31,1141892
2012-09-01,1175456
2012-09-02,1170088
2012-09-03,1210066
2012-09-04,1193190
2012-09-05,1153857
2012-09-06,1294279
2012-09-07,1485614
2012-09-08,1480703
2012-09-09,1185022
2012-09-10,1159918
2012-09-11,1176633
2012-09-12,1204537
2012-09-13,1279182
2012-09-14,1478345
2012-09-15,1508907
2012-09-16,1214506
2012-09-17,1195710
2012-09-18,1149141
2012-09-19,1210121
2012-09-20,1289962
2012-09-21,1629015
2012-09-22,1618423
2012-09-23,1321667
2012-09-24,1157824
2012-09-25,1257952
2012-09-26,1270288
2012-09-27,1358444
2012-09-28,1651227
2012-09-29,1662587
2012-09-30,1343004
2012-10-01,1314793
2012-10-02,1297862
2012-10-03,1449696
2012-10-04,1677558
2012-10-05,1936987
2012-10-06,1889717
2012-10-07,1569301
2012-10-08,1470965
2012-10-09,1483926
2012-10-10,1496242
2012-10-11,1571184
2012-10-12,1828503
2012-10-13,1813986
2012-10-14,1474041
2012-10-15,1437139
2012-10-16,1442837
2012-10-17,1423404
2012-10-18,1565982
2012-10-19,1984774
2012-10-20,2056078
2012-10-21,1736931
2012-10-22,1707636
2012-10-23,1764944
2012-10-24,1777329
2012-10-25,2056649
2012-10-26,2391997
2012-10-27,2447854
2012-10-28,1958650
2012-10-29,2018064
2012-10-30,3040901
2012-10-31,3261905
2012-11-01,3074648
2012-11-02,3043166
2012-11-03,3017032
2012-11-04,2437128
2012-11-05,2334287
2012-11-06,2278901
2012-11-07,2451913
2012-11-08,2521069
2012-11-09,3094505
2012-11-10,3161142
2012-11-11,2613839
2012-11-12,2491546
2012-11-13,2357606
2012-11-14,2411850
2012-11-15,2258161
2012-11-16,2639463
2012-11-17,2615603
2012-11-18,2128842
2012-11-19,2127805
2012-11-20,2100519
2012-11-21,2151662
2012-11-22,2318981
2012-11-23,2728671
2012-11-24,2786766
2012-11-25,2280795
2012-11-26,2236399
2012-11-27,2285338
2012-11-28,2384156
2012-11-29,2191839
2012-11-30,2649349
2012-12-01,2847972
2012-12-02,2316226
2012-12-03,2337720
2012-12-04,2338042
2012-12-05,2365552
2012-12-06,2479628
2012-12-07,3062536
2012-12-08,3043025
2012-12-09,2537209
2012-12-10,2576402
2012-12-11,2555441
2012-12-12,2633647
2012-12-13,2777639
2012-12-14,3329358
2012-12-15,3364955
2012-12-16,2896608
2012-12-17,2872278
2012-12-18,3305190
2012-12-19,5091195
2012-12-20,4680177
2012-12-21,4571560
2012-12-22,4305325
2012-12-23,3684347
2012-12-24,3315439
2012-12-25,3512336
2012-12-26,3464622
2012-12-27,3582426
2012-12-28,3703890
2012-12-29,3714631
2012-12-30,3009723
2012-12-31,3237536
2013-01-01,3556515
2013-01-02,3532752
2013-01-03,3124010
2013-01-04,3462903
2013-01-05,3514212
2013-01-06,3269596
2013-01-07,3250466
2013-01-08,3186339
2013-01-09,3163611
2013-01-10,3274353
2013-01-11,3784645
2013-01-12,3568989
2013-01-13,3090339
2013-01-14,3086994
2013-01-15,3060847
2013-01-16,2757742
2013-01-17,3370351
2013-01-18,3954763
2013-01-19,3938371
2013-01-20,3432142
2013-01-21,3377899
2013-01-22,3401603
2013-01-23,3449330
2013-01-24,3576903
2013-01-25,4168365
2013-01-26,4152817
2013-01-27,3509423
2013-01-28,3434312
2013-01-29,3447485
2013-01-30,3533991
2013-01-31,3019767
2013-02-01,4137923
2013-02-02,4243065
2013-02-03,3474233
2013-02-04,3487033
2013-02-05,3471475
2013-02-06,3504669
2013-02-07,3690624
2013-02-08,4342637
2013-02-09,4299150
2013-02-10,3620974
2013-02-11,3599452
2013-02-12,3583076
2013-02-13,3402822
2013-02-14,3735807
2013-02-15,4471626
2013-02-16,4487219
2013-02-17,3581143
2013-02-18,3651853
2013-02-19,3643701
2013-02-20,3676583
2013-02-21,3989976
2013-02-22,4578086
2013-02-23,4545310
2013-02-24,3646325
2013-02-25,3595135
2013-02-26,3659141
2013-02-27,3683206
2013-02-28,3737481
2013-03-01,4651188
2013-03-02,4633998
2013-03-03,3702622
2013-03-04,3603431
2013-03-05,3640556
2013-03-06,3969736
2013-03-07,4172769
2013-03-08,4765624
2013-03-09,4170222
2013-03-10,3768007
2013-03-11,3658999
2013-03-12,3642805
2013-03-13,3696626
2013-03-14,3864045
2013-03-15,4664582
2013-03-16,4560814
2013-03-17,3696388
2013-03-18,3675737
2013-03-19,3720375
2013-03-20,3838418
2013-03-21,4136027
2013-03-22,4798561
2013-03-23,4920816
2013-03-24,4216202
2013-03-25,4043597
2013-03-26,4086702
2013-03-27,4223325
2013-03-28,4607335
2013-03-29,4786434
2013-03-30,4643917
2013-03-31,3976578
2013-04-01,3708773
2013-04-02,3811374
2013-04-03,3818944
2013-04-04,4046118
2013-04-05,4619107
2013-04-06,4525425
2013-04-07,3835017
2013-04-08,3800937
2013-04-09,3779817
2013-04-10,3880391
2013-04-11,4141470
2013-04-12,4732736
2013-04-13,4634323
2013-04-14,3677083
2013-04-15,3449686
