1,145886963
2,196078282
3,61172604
4,176689730
5,143385059
6,205030106
7,185688857
8,232905599
9,178277919
10,61690399
11,166510311
12,118447431
13,71572269
14,358538302
15,93152391
16,117279836
17,123777825
18,143752899
19,116872512
20,122327042
21,215983000
22,163129990
23,119338916
25,156372967
26,163323488
27,95760507
28,110278244
29,101371422
30,137131760
31,95437227
32,197697351
33,63871204
34,85377009
35,286487456
36,130488485
37,85963490
38,36306663
39,128288347
40,85646604
41,153249490
42,140028016
43,99122666
44,242499519
45,59281060
46,102503754
47,141744209
48,106425107
49,96255177
50,86554729
51,86122684
52,56477784
53,149574565
54,121858759
55,57863896
56,92485420
57,100347364
58,49943368
59,123879481
60,68870807
61,49148901
62,191042906
63,108035190
64,77894133
65,46208986
66,23093928
67,101303307
68,74060930
69,97018589
70,132242543
71,157209148
72,89426861
73,109957838
74,234793107
75,119757787
76,74323199
77,57094756
78,44599496
79,37876010
80,47408997
81,84569734
82,45983437
83,49330662
84,100146407
85,75802740
86,120626567
87,65882353
88,93910279
89,45279035
90,61958417
91,33015337
92,27630409
93,179181941
94,64858639
95,94684991
96,78051004
97,75181524
98,76975423
99,109450619
100,82794463
101,80872342
102,76437782
103,32222294
104,145620873
105,55228728
106,95683452
107,35815207
109,40906563
110,38602935
111,19748222
112,25079340
113,7143567
